index,Team Name,In-game Name,Open ID
152,Ava,จิ้งจกตกท่อระบายน้ำ,5477379174761586
153,Ava,อัยหรั้ย,3490105658639474
154,Ava,"""ooมzิน★",6118529007027314
155,Ava,Qxr888,4179493812110450
156,Awe‘some,เนญ่าชอบขี่ไดโนเสาร์,3794721919140978
157,Awe‘some,Nxłlźy,2443750492275826
158,Awe‘some,รักนายกพิธา,3084978103714930
159,Awe‘some,ยาแก้บ้า.•o,1277131879548018
160,Awe‘some,「sᴀɴᴛᴛ°–✧」,3040137168749682
161,B-PAWF,ᴡᴏʀꜱᴏʀ,1458010736231538
162,B-PAWF,Ms.WhippedCream,3085230902805618
163,B-PAWF,i'm_soybad,2927524736861298
164,B-PAWF,ᴀɴᴄᴇʟɪʙᴀᴛᴀɪʀᴇ,3153123262792818
165,B-PAWF,ิิbbq._,2015400988705906
166,Babiezzzzz,Kidsheumaioak,2578396576154738
167,Babiezzzzz,NNanurse♡‧₊˚,263003866072178
168,Babiezzzzz,tapiru,163773478536306
169,Babiezzzzz,Garfq,2372578656322674
170,Babiezzzzz,芳欣,1297340774417522
171,BabiiMantis,Aquariuspat,4501276385805426
172,BabiiMantis,ภูริน่าLv999+,4234313164063858
173,BabiiMantis,Hanane•~•,5035545621365874
174,BabiiMantis,งาง่าง้า,3921952473547890
175,BabiiMantis,slencboyie,4384176048637042
176,BabiiMantis,whatevervivi,4254774388262002
177,BabiiMantis,babepeiyay._,3696095779816562
178,BABY GIRLS,MyQueenníe,3189731483649138
179,BABY GIRLS,จีจี้ขี้ระเบิด,3482840654349426
180,BABY GIRLS,สมศรีหญิงล้วน,3208088173872242
181,BABY GIRLS,SYBAU_.,5468205325943922
182,BABY GIRLS,マノージ,4749768630928498
183,BABY GIRLS,sky.d,4561150847157362
184,BABY Jonior,˚.?̊ᴋᴜʀᴏᴍɪྀི｡⋆,3618892132058226
185,BABY Jonior,‧₊˚ᴄɪɴɴᴀᴍᴏɴ‧₊໒꒱,3910837903492210
186,BABY Jonior,ɴᴏᴠᴀr͜͡ᴀɪωᴀ,2681828247012466
187,BABY Jonior,?,3517813969060978
188,BABY Jonior,alwaysgosomewherefarawayfromus,4700594141070450
189,Baby Monster,『Tøru』Ṁaké,2759312074278002
190,Baby Monster,୨୧꒰ｗa͜͡ｗǝe۫۰۪✿ˎˊ˗,3328783063123058
191,Baby Monster,୨୧˚cчrє˚୨୧,3595637031634034
192,Baby Monster,ค่ะพี่คนเก่ง.,444008672493
193,Baby Monster,♡Neko_Ari♡,255936161664
194,Babybombb,✿:浜辺ʀ͜͡ɪɴ.ˎˊ˗,218676917896306
195,Babybombb,꒷ᴘoɾk͜͡αεω✿ˎˊ˗,1436094994515058
196,Babybombb,จีเซลเป็นซานตาคอส,293168226698354
197,Babybombb,ᴛᴀʟɪᴡʚɞ,3261877337654386
198,Babybombb,Satou_Zzz♡‧₊˚,436286670439538
199,Baddie Girlz,Lusslypoo,367132865135730
200,Baddie Girlz,LélysPadkaiiッ,4337126158304370
201,Baddie Girlz,maybe’p,196475896398962
202,Baddie Girlz,ชิบะอเวนเจอร์,3050723457827954
203,Baddie Girlz,Aquahua,1028570713621618
204,Baddiez E-Sports,BDZ.Nextar,112683835917426
205,Baddiez E-Sports,BDZ.Reiisxng,1460572080243826
206,Baddiez E-Sports,BDZ.Inuzuki,3055770782598258
207,Baddiez E-Sports,BDZ.Muzan☆,5805916121400434
208,Baddiez E-Sports,^ต้มยำแมว^,3735640751670386
209,Baddiez E-Sports,BDZ.Mabelzp,1097677744047218
210,BANHAN3KIDS,ʝulieྀིαɾn`♡ྀི,5418238817272946
211,BANHAN3KIDS,พี่อู๋จุนHi-end,3592304740992114
212,BANHAN3KIDS,m͜͡υмυ☆,4745726395614322
213,BANHAN3KIDS,拉帕功,3099702593782898
214,BANHAN3KIDS,Gee☆,5335689747170418
215,BAR B GON,ท้ายตาต้าา,3592842350101618
216,BAR B GON,<a>N'aoeii</a>,3056692522845298
217,BAR B GON,แมวฟ้าตัวสีเขียว:-:,298803223790706
218,BAR B GON,yeuzorkeoˋ,4747386870236274
219,BAR B GON,黯枭,3866592626803826
220,Barbie girl,rainyourheart`,2231487437145202
221,Barbie girl,˗ˏˋ˖࣪⋆ɢᴀ͜͡ʏ✮ˎˊ˗,3429810894472306
222,Barbie girl,˚?ִ†༙྇nֺαּt͜͡s༙྇uֹ໒꒱ִྀི˖࣪,3021711087961202
223,Barbie girl,‧₊˚໒ིྀȶoωྀིα♡ྀ༝˚ִ˖,3497632655934578
224,Barbie girl,‧₊८˳ྀིྀིྀn͜͡αּׄოiׅ♡ֺ֯·⸝,3556244128466034
225,BBbunny,ʙᴀʙᴏ̈sʜɪ,2830401567655026
226,BBbunny,ไอ้แว่นไก่,3681903463040114
227,BBbunny,แด่เธอในอีก2000ปี⠀,3364164064183410
228,BBbunny,ʟᴜиᴀʀ.,362115739354226
229,BBbunny,`°ᴍᴇʀʟɪɴᴢ.︎݁˖♡ˎˊ˗,2676912321397874
230,BLACK CAT,ׂ˳ּׅ♡ׂხׅeℓℓּ͜͡αni̫eׂz໒꒱ིྀ₊֯,3467088593355890
231,BLACK CAT,yolppii,352487093765234
232,BLACK CAT,мвν•Kʝαɾʂταɾ,3131399787971698
